party,group_type,group,vote_share_weighted_valid,survey_year,survey_quarter,sample_confidence,n_valid_vote_unweighted,include_in_time_trend
other_party,gender,female,21.2483,2019,Q2,high,794,True
ΑΝΕΛ,gender,female,0.7727,2019,Q2,high,794,True
Ελληνική Λύση,gender,female,0.9927,2019,Q2,high,794,True
ΚΚΕ,gender,female,2.9355,2019,Q2,high,794,True
ΜέΡΑ25,gender,female,0.2501,2019,Q2,high,794,True
ΝΔ,gender,female,28.5806,2019,Q2,high,794,True
ΠΑΣΟΚ/ΚΙΝΑΛ,gender,female,5.1496,2019,Q2,high,794,True
Πλεύση Ελευθερίας,gender,female,0.5988,2019,Q2,high,794,True
Ποτάμι,gender,female,1.3635,2019,Q2,high,794,True
ΣΥΡΙΖΑ,gender,female,33.1371,2019,Q2,high,794,True
Χρυσή Αυγή,gender,female,4.9711,2019,Q2,high,794,True
other_party,gender,male,15.8057,2019,Q2,high,816,True
ΑΝΕΛ,gender,male,0.8564,2019,Q2,high,816,True
Ελληνική Λύση,gender,male,2.869,2019,Q2,high,816,True
ΚΚΕ,gender,male,3.8143,2019,Q2,high,816,True
ΜέΡΑ25,gender,male,0.2614,2019,Q2,high,816,True
ΝΔ,gender,male,31.2455,2019,Q2,high,816,True
ΠΑΣΟΚ/ΚΙΝΑΛ,gender,male,8.1874,2019,Q2,high,816,True
Πλεύση Ελευθερίας,gender,male,0.6934,2019,Q2,high,816,True
Ποτάμι,gender,male,0.6671,2019,Q2,high,816,True
ΣΥΡΙΖΑ,gender,male,27.0289,2019,Q2,high,816,True
Χρυσή Αυγή,gender,male,8.5709,2019,Q2,high,816,True
other_party,age_group,18-24,25.7359,2019,Q2,medium,195,True
ΑΝΕΛ,age_group,18-24,0.546,2019,Q2,medium,195,True
Ελληνική Λύση,age_group,18-24,1.5188,2019,Q2,medium,195,True
ΚΚΕ,age_group,18-24,4.9266,2019,Q2,medium,195,True
ΝΔ,age_group,18-24,25.8251,2019,Q2,medium,195,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,18-24,5.8704,2019,Q2,medium,195,True
Ποτάμι,age_group,18-24,0.4936,2019,Q2,medium,195,True
ΣΥΡΙΖΑ,age_group,18-24,23.6763,2019,Q2,medium,195,True
Χρυσή Αυγή,age_group,18-24,11.4073,2019,Q2,medium,195,True
other_party,age_group,25-39,19.0403,2019,Q2,high,346,True
ΑΝΕΛ,age_group,25-39,0.6535,2019,Q2,high,346,True
Ελληνική Λύση,age_group,25-39,1.2003,2019,Q2,high,346,True
ΚΚΕ,age_group,25-39,6.2289,2019,Q2,high,346,True
ΜέΡΑ25,age_group,25-39,0.2888,2019,Q2,high,346,True
ΝΔ,age_group,25-39,29.4207,2019,Q2,high,346,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,25-39,6.5243,2019,Q2,high,346,True
Πλεύση Ελευθερίας,age_group,25-39,0.2888,2019,Q2,high,346,True
Ποτάμι,age_group,25-39,0.841,2019,Q2,high,346,True
ΣΥΡΙΖΑ,age_group,25-39,26.8959,2019,Q2,high,346,True
Χρυσή Αυγή,age_group,25-39,8.6175,2019,Q2,high,346,True
other_party,age_group,40-54,22.0015,2019,Q2,high,406,True
ΑΝΕΛ,age_group,40-54,0.8002,2019,Q2,high,406,True
Ελληνική Λύση,age_group,40-54,2.571,2019,Q2,high,406,True
ΚΚΕ,age_group,40-54,3.4982,2019,Q2,high,406,True
ΜέΡΑ25,age_group,40-54,0.2502,2019,Q2,high,406,True
ΝΔ,age_group,40-54,28.8964,2019,Q2,high,406,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,40-54,4.8896,2019,Q2,high,406,True
Πλεύση Ελευθερίας,age_group,40-54,0.5169,2019,Q2,high,406,True
Ποτάμι,age_group,40-54,1.3006,2019,Q2,high,406,True
ΣΥΡΙΖΑ,age_group,40-54,27.7159,2019,Q2,high,406,True
Χρυσή Αυγή,age_group,40-54,7.5594,2019,Q2,high,406,True
other_party,age_group,55+,14.4855,2019,Q2,high,663,True
ΑΝΕΛ,age_group,55+,0.9593,2019,Q2,high,663,True
Ελληνική Λύση,age_group,55+,1.7661,2019,Q2,high,663,True
ΚΚΕ,age_group,55+,1.4555,2019,Q2,high,663,True
ΜέΡΑ25,age_group,55+,0.3011,2019,Q2,high,663,True
ΝΔ,age_group,55+,31.6326,2019,Q2,high,663,True
ΠΑΣΟΚ/ΚΙΝΑΛ,age_group,55+,7.9989,2019,Q2,high,663,True
Πλεύση Ελευθερίας,age_group,55+,1.0577,2019,Q2,high,663,True
Ποτάμι,age_group,55+,1.0638,2019,Q2,high,663,True
ΣΥΡΙΖΑ,age_group,55+,35.3393,2019,Q2,high,663,True
Χρυσή Αυγή,age_group,55+,3.9403,2019,Q2,high,663,True
other_party,education_group,Advanced Technological Educational Institute (public institutions),19.0084,2019,Q2,medium,146,True
ΑΝΕΛ,education_group,Advanced Technological Educational Institute (public institutions),0.4064,2019,Q2,medium,146,True
Ελληνική Λύση,education_group,Advanced Technological Educational Institute (public institutions),2.3122,2019,Q2,medium,146,True
ΚΚΕ,education_group,Advanced Technological Educational Institute (public institutions),4.4693,2019,Q2,medium,146,True
ΜέΡΑ25,education_group,Advanced Technological Educational Institute (public institutions),0.6465,2019,Q2,medium,146,True
ΝΔ,education_group,Advanced Technological Educational Institute (public institutions),36.4421,2019,Q2,medium,146,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,Advanced Technological Educational Institute (public institutions),6.7689,2019,Q2,medium,146,True
Πλεύση Ελευθερίας,education_group,Advanced Technological Educational Institute (public institutions),2.9214,2019,Q2,medium,146,True
Ποτάμι,education_group,Advanced Technological Educational Institute (public institutions),2.0546,2019,Q2,medium,146,True
ΣΥΡΙΖΑ,education_group,Advanced Technological Educational Institute (public institutions),17.7732,2019,Q2,medium,146,True
Χρυσή Αυγή,education_group,Advanced Technological Educational Institute (public institutions),7.197,2019,Q2,medium,146,True
other_party,education_group,I don't want to answer,34.4677,2019,Q2,low,31,True
ΑΝΕΛ,education_group,I don't want to answer,3.5665,2019,Q2,low,31,True
Ελληνική Λύση,education_group,I don't want to answer,5.3435,2019,Q2,low,31,True
ΝΔ,education_group,I don't want to answer,34.4738,2019,Q2,low,31,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,I don't want to answer,3.5665,2019,Q2,low,31,True
ΣΥΡΙΖΑ,education_group,I don't want to answer,5.5028,2019,Q2,low,31,True
Χρυσή Αυγή,education_group,I don't want to answer,13.0792,2019,Q2,low,31,True
other_party,education_group,high_education,17.9803,2019,Q2,high,721,True
ΑΝΕΛ,education_group,high_education,0.7199,2019,Q2,high,721,True
Ελληνική Λύση,education_group,high_education,1.5785,2019,Q2,high,721,True
ΚΚΕ,education_group,high_education,3.2514,2019,Q2,high,721,True
ΝΔ,education_group,high_education,29.2604,2019,Q2,high,721,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,high_education,7.8311,2019,Q2,high,721,True
Πλεύση Ελευθερίας,education_group,high_education,0.2327,2019,Q2,high,721,True
Ποτάμι,education_group,high_education,1.1846,2019,Q2,high,721,True
ΣΥΡΙΖΑ,education_group,high_education,33.9872,2019,Q2,high,721,True
Χρυσή Αυγή,education_group,high_education,3.9739,2019,Q2,high,721,True
other_party,education_group,low_education,10.3487,2019,Q2,low,24,True
ΑΝΕΛ,education_group,low_education,4.1181,2019,Q2,low,24,True
ΚΚΕ,education_group,low_education,2.2358,2019,Q2,low,24,True
ΝΔ,education_group,low_education,20.6192,2019,Q2,low,24,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,low_education,5.6111,2019,Q2,low,24,True
ΣΥΡΙΖΑ,education_group,low_education,50.7132,2019,Q2,low,24,True
Χρυσή Αυγή,education_group,low_education,6.3539,2019,Q2,low,24,True
other_party,education_group,medium_education,19.0562,2019,Q2,high,688,True
ΑΝΕΛ,education_group,medium_education,0.7742,2019,Q2,high,688,True
Ελληνική Λύση,education_group,medium_education,2.012,2019,Q2,high,688,True
ΚΚΕ,education_group,medium_education,3.3717,2019,Q2,high,688,True
ΜέΡΑ25,education_group,medium_education,0.4613,2019,Q2,high,688,True
ΝΔ,education_group,medium_education,29.0809,2019,Q2,high,688,True
ΠΑΣΟΚ/ΚΙΝΑΛ,education_group,medium_education,5.3288,2019,Q2,high,688,True
Πλεύση Ελευθερίας,education_group,medium_education,0.6189,2019,Q2,high,688,True
Ποτάμι,education_group,medium_education,0.7276,2019,Q2,high,688,True
ΣΥΡΙΖΑ,education_group,medium_education,29.3952,2019,Q2,high,688,True
Χρυσή Αυγή,education_group,medium_education,9.1732,2019,Q2,high,688,True
other_party,occupation_group,Employer / Entrepreneur,14.8493,2019,Q2,low,86,True
Ελληνική Λύση,occupation_group,Employer / Entrepreneur,5.3485,2019,Q2,low,86,True
ΝΔ,occupation_group,Employer / Entrepreneur,35.4928,2019,Q2,low,86,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,Employer / Entrepreneur,9.3329,2019,Q2,low,86,True
Πλεύση Ελευθερίας,occupation_group,Employer / Entrepreneur,1.0371,2019,Q2,low,86,True
ΣΥΡΙΖΑ,occupation_group,Employer / Entrepreneur,29.8064,2019,Q2,low,86,True
Χρυσή Αυγή,occupation_group,Employer / Entrepreneur,4.133,2019,Q2,low,86,True
other_party,occupation_group,I don't want to answer,34.2101,2019,Q2,low,37,True
ΑΝΕΛ,occupation_group,I don't want to answer,1.5528,2019,Q2,low,37,True
Ελληνική Λύση,occupation_group,I don't want to answer,3.673,2019,Q2,low,37,True
ΚΚΕ,occupation_group,I don't want to answer,4.8295,2019,Q2,low,37,True
ΝΔ,occupation_group,I don't want to answer,28.4646,2019,Q2,low,37,True
Ποτάμι,occupation_group,I don't want to answer,4.2211,2019,Q2,low,37,True
ΣΥΡΙΖΑ,occupation_group,I don't want to answer,9.054,2019,Q2,low,37,True
Χρυσή Αυγή,occupation_group,I don't want to answer,13.9951,2019,Q2,low,37,True
other_party,occupation_group,homemaker,26.8359,2019,Q2,low,55,True
ΚΚΕ,occupation_group,homemaker,4.6987,2019,Q2,low,55,True
ΝΔ,occupation_group,homemaker,23.342,2019,Q2,low,55,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,homemaker,2.293,2019,Q2,low,55,True
ΣΥΡΙΖΑ,occupation_group,homemaker,33.9931,2019,Q2,low,55,True
Χρυσή Αυγή,occupation_group,homemaker,8.8372,2019,Q2,low,55,True
other_party,occupation_group,private_sector,20.8123,2019,Q2,medium,282,True
ΑΝΕΛ,occupation_group,private_sector,0.2949,2019,Q2,medium,282,True
Ελληνική Λύση,occupation_group,private_sector,2.0283,2019,Q2,medium,282,True
ΚΚΕ,occupation_group,private_sector,4.6143,2019,Q2,medium,282,True
ΜέΡΑ25,occupation_group,private_sector,0.3182,2019,Q2,medium,282,True
ΝΔ,occupation_group,private_sector,28.7067,2019,Q2,medium,282,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,private_sector,5.253,2019,Q2,medium,282,True
Πλεύση Ελευθερίας,occupation_group,private_sector,0.4134,2019,Q2,medium,282,True
Ποτάμι,occupation_group,private_sector,1.8528,2019,Q2,medium,282,True
ΣΥΡΙΖΑ,occupation_group,private_sector,28.3202,2019,Q2,medium,282,True
Χρυσή Αυγή,occupation_group,private_sector,7.3859,2019,Q2,medium,282,True
other_party,occupation_group,public_sector,17.6147,2019,Q2,medium,194,True
ΑΝΕΛ,occupation_group,public_sector,2.1246,2019,Q2,medium,194,True
Ελληνική Λύση,occupation_group,public_sector,0.4648,2019,Q2,medium,194,True
ΚΚΕ,occupation_group,public_sector,1.3445,2019,Q2,medium,194,True
ΝΔ,occupation_group,public_sector,27.8081,2019,Q2,medium,194,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,public_sector,7.6731,2019,Q2,medium,194,True
Πλεύση Ελευθερίας,occupation_group,public_sector,0.6105,2019,Q2,medium,194,True
Ποτάμι,occupation_group,public_sector,0.5727,2019,Q2,medium,194,True
ΣΥΡΙΖΑ,occupation_group,public_sector,36.9569,2019,Q2,medium,194,True
Χρυσή Αυγή,occupation_group,public_sector,4.83,2019,Q2,medium,194,True
other_party,occupation_group,rentier,16.9267,2019,Q2,low,11,True
ΝΔ,occupation_group,rentier,38.5267,2019,Q2,low,11,True
ΣΥΡΙΖΑ,occupation_group,rentier,24.9941,2019,Q2,low,11,True
Χρυσή Αυγή,occupation_group,rentier,19.5526,2019,Q2,low,11,True
other_party,occupation_group,retired,13.5778,2019,Q2,high,471,True
ΑΝΕΛ,occupation_group,retired,0.7592,2019,Q2,high,471,True
Ελληνική Λύση,occupation_group,retired,1.5491,2019,Q2,high,471,True
ΚΚΕ,occupation_group,retired,1.7176,2019,Q2,high,471,True
ΜέΡΑ25,occupation_group,retired,0.4302,2019,Q2,high,471,True
ΝΔ,occupation_group,retired,34.9225,2019,Q2,high,471,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,retired,8.8822,2019,Q2,high,471,True
Πλεύση Ελευθερίας,occupation_group,retired,1.1413,2019,Q2,high,471,True
Ποτάμι,occupation_group,retired,1.151,2019,Q2,high,471,True
ΣΥΡΙΖΑ,occupation_group,retired,32.0314,2019,Q2,high,471,True
Χρυσή Αυγή,occupation_group,retired,3.8377,2019,Q2,high,471,True
other_party,occupation_group,self_employed,13.0502,2019,Q2,medium,191,True
ΑΝΕΛ,occupation_group,self_employed,0.9195,2019,Q2,medium,191,True
Ελληνική Λύση,occupation_group,self_employed,2.327,2019,Q2,medium,191,True
ΚΚΕ,occupation_group,self_employed,6.4059,2019,Q2,medium,191,True
ΝΔ,occupation_group,self_employed,30.3762,2019,Q2,medium,191,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,self_employed,7.5316,2019,Q2,medium,191,True
Πλεύση Ελευθερίας,occupation_group,self_employed,0.8555,2019,Q2,medium,191,True
Ποτάμι,occupation_group,self_employed,1.1947,2019,Q2,medium,191,True
ΣΥΡΙΖΑ,occupation_group,self_employed,31.673,2019,Q2,medium,191,True
Χρυσή Αυγή,occupation_group,self_employed,5.6664,2019,Q2,medium,191,True
other_party,occupation_group,soldier,24.8634,2019,Q2,low,8,True
ΝΔ,occupation_group,soldier,12.5683,2019,Q2,low,8,True
ΣΥΡΙΖΑ,occupation_group,soldier,50.0,2019,Q2,low,8,True
Χρυσή Αυγή,occupation_group,soldier,12.5683,2019,Q2,low,8,True
other_party,occupation_group,student,26.9939,2019,Q2,medium,164,True
ΑΝΕΛ,occupation_group,student,0.6367,2019,Q2,medium,164,True
Ελληνική Λύση,occupation_group,student,0.7051,2019,Q2,medium,164,True
ΚΚΕ,occupation_group,student,4.5848,2019,Q2,medium,164,True
ΝΔ,occupation_group,student,21.5749,2019,Q2,medium,164,True
ΠΑΣΟΚ/ΚΙΝΑΛ,occupation_group,student,6.8404,2019,Q2,medium,164,True
Ποτάμι,occupation_group,student,0.5756,2019,Q2,medium,164,True
ΣΥΡΙΖΑ,occupation_group,student,28.648,2019,Q2,medium,164,True
Χρυσή Αυγή,occupation_group,student,9.4406,2019,Q2,medium,164,True
other_party,occupation_group,unemployed,29.2632,2019,Q2,medium,111,True
ΑΝΕΛ,occupation_group,unemployed,0.8619,2019,Q2,medium,111,True
Ελληνική Λύση,occupation_group,unemployed,3.7991,2019,Q2,medium,111,True
ΚΚΕ,occupation_group,unemployed,5.4146,2019,Q2,medium,111,True
ΜέΡΑ25,occupation_group,unemployed,1.0619,2019,Q2,medium,111,True
ΝΔ,occupation_group,unemployed,24.0301,2019,Q2,medium,111,True
ΣΥΡΙΖΑ,occupation_group,unemployed,20.5561,2019,Q2,medium,111,True
Χρυσή Αυγή,occupation_group,unemployed,15.0131,2019,Q2,medium,111,True
other_party,left_right_group,center,21.345,2019,Q2,high,789,True
ΑΝΕΛ,left_right_group,center,0.9102,2019,Q2,high,789,True
Ελληνική Λύση,left_right_group,center,1.607,2019,Q2,high,789,True
ΚΚΕ,left_right_group,center,1.1182,2019,Q2,high,789,True
ΜέΡΑ25,left_right_group,center,0.2499,2019,Q2,high,789,True
ΝΔ,left_right_group,center,28.7329,2019,Q2,high,789,True
ΠΑΣΟΚ/ΚΙΝΑΛ,left_right_group,center,11.3507,2019,Q2,high,789,True
Πλεύση Ελευθερίας,left_right_group,center,0.6289,2019,Q2,high,789,True
Ποτάμι,left_right_group,center,1.9927,2019,Q2,high,789,True
ΣΥΡΙΖΑ,left_right_group,center,28.5819,2019,Q2,high,789,True
Χρυσή Αυγή,left_right_group,center,3.4827,2019,Q2,high,789,True
other_party,left_right_group,left,12.2454,2019,Q2,high,333,True
ΑΝΕΛ,left_right_group,left,0.7534,2019,Q2,high,333,True
Ελληνική Λύση,left_right_group,left,0.289,2019,Q2,high,333,True
ΚΚΕ,left_right_group,left,12.4583,2019,Q2,high,333,True
ΝΔ,left_right_group,left,1.6086,2019,Q2,high,333,True
ΠΑΣΟΚ/ΚΙΝΑΛ,left_right_group,left,3.4023,2019,Q2,high,333,True
Πλεύση Ελευθερίας,left_right_group,left,1.002,2019,Q2,high,333,True
ΣΥΡΙΖΑ,left_right_group,left,68.241,2019,Q2,high,333,True
other_party,left_right_group,right,19.0219,2019,Q2,high,487,True
ΑΝΕΛ,left_right_group,right,0.6944,2019,Q2,high,487,True
Ελληνική Λύση,left_right_group,right,3.4508,2019,Q2,high,487,True
ΚΚΕ,left_right_group,right,0.507,2019,Q2,high,487,True
ΜέΡΑ25,left_right_group,right,0.4487,2019,Q2,high,487,True
ΝΔ,left_right_group,right,51.9927,2019,Q2,high,487,True
ΠΑΣΟΚ/ΚΙΝΑΛ,left_right_group,right,0.9702,2019,Q2,high,487,True
Πλεύση Ελευθερίας,left_right_group,right,0.4115,2019,Q2,high,487,True
Ποτάμι,left_right_group,right,0.2058,2019,Q2,high,487,True
ΣΥΡΙΖΑ,left_right_group,right,5.5921,2019,Q2,high,487,True
Χρυσή Αυγή,left_right_group,right,16.7049,2019,Q2,high,487,True
other_party,previous_vote_party,other_party,32.2376,2019,Q2,high,537,True
ΑΝΕΛ,previous_vote_party,other_party,0.6017,2019,Q2,high,537,True
Ελληνική Λύση,previous_vote_party,other_party,1.8046,2019,Q2,high,537,True
ΚΚΕ,previous_vote_party,other_party,10.1493,2019,Q2,high,537,True
ΜέΡΑ25,previous_vote_party,other_party,0.6098,2019,Q2,high,537,True
ΝΔ,previous_vote_party,other_party,16.319,2019,Q2,high,537,True
ΠΑΣΟΚ/ΚΙΝΑΛ,previous_vote_party,other_party,13.8351,2019,Q2,high,537,True
Πλεύση Ελευθερίας,previous_vote_party,other_party,1.26,2019,Q2,high,537,True
ΣΥΡΙΖΑ,previous_vote_party,other_party,19.2602,2019,Q2,high,537,True
Χρυσή Αυγή,previous_vote_party,other_party,3.9227,2019,Q2,high,537,True
other_party,previous_vote_party,ΑΝΕΛ,28.4787,2019,Q2,low,45,True
ΑΝΕΛ,previous_vote_party,ΑΝΕΛ,16.1088,2019,Q2,low,45,True
Ελληνική Λύση,previous_vote_party,ΑΝΕΛ,11.5408,2019,Q2,low,45,True
ΝΔ,previous_vote_party,ΑΝΕΛ,24.2124,2019,Q2,low,45,True
ΣΥΡΙΖΑ,previous_vote_party,ΑΝΕΛ,14.4732,2019,Q2,low,45,True
Χρυσή Αυγή,previous_vote_party,ΑΝΕΛ,5.186,2019,Q2,low,45,True
other_party,previous_vote_party,ΝΔ,5.7782,2019,Q2,high,381,True
Ελληνική Λύση,previous_vote_party,ΝΔ,0.7484,2019,Q2,high,381,True
ΝΔ,previous_vote_party,ΝΔ,83.3949,2019,Q2,high,381,True
ΠΑΣΟΚ/ΚΙΝΑΛ,previous_vote_party,ΝΔ,1.0923,2019,Q2,high,381,True
Ποτάμι,previous_vote_party,ΝΔ,0.1658,2019,Q2,high,381,True
ΣΥΡΙΖΑ,previous_vote_party,ΝΔ,6.5306,2019,Q2,high,381,True
Χρυσή Αυγή,previous_vote_party,ΝΔ,2.2899,2019,Q2,high,381,True
other_party,previous_vote_party,Ποτάμι,15.0797,2019,Q2,low,56,True
ΝΔ,previous_vote_party,Ποτάμι,24.6204,2019,Q2,low,56,True
ΠΑΣΟΚ/ΚΙΝΑΛ,previous_vote_party,Ποτάμι,21.7949,2019,Q2,low,56,True
Ποτάμι,previous_vote_party,Ποτάμι,28.8205,2019,Q2,low,56,True
ΣΥΡΙΖΑ,previous_vote_party,Ποτάμι,8.7291,2019,Q2,low,56,True
Χρυσή Αυγή,previous_vote_party,Ποτάμι,0.9554,2019,Q2,low,56,True
other_party,previous_vote_party,ΣΥΡΙΖΑ,14.1164,2019,Q2,high,468,True
ΑΝΕΛ,previous_vote_party,ΣΥΡΙΖΑ,0.5202,2019,Q2,high,468,True
Ελληνική Λύση,previous_vote_party,ΣΥΡΙΖΑ,1.3093,2019,Q2,high,468,True
ΚΚΕ,previous_vote_party,ΣΥΡΙΖΑ,0.3615,2019,Q2,high,468,True
ΜέΡΑ25,previous_vote_party,ΣΥΡΙΖΑ,0.1981,2019,Q2,high,468,True
ΝΔ,previous_vote_party,ΣΥΡΙΖΑ,8.4295,2019,Q2,high,468,True
ΠΑΣΟΚ/ΚΙΝΑΛ,previous_vote_party,ΣΥΡΙΖΑ,3.2447,2019,Q2,high,468,True
Πλεύση Ελευθερίας,previous_vote_party,ΣΥΡΙΖΑ,0.7841,2019,Q2,high,468,True
ΣΥΡΙΖΑ,previous_vote_party,ΣΥΡΙΖΑ,69.6572,2019,Q2,high,468,True
Χρυσή Αυγή,previous_vote_party,ΣΥΡΙΖΑ,1.3791,2019,Q2,high,468,True
other_party,previous_vote_party,Χρυσή Αυγή,2.6147,2019,Q2,low,90,True
Ελληνική Λύση,previous_vote_party,Χρυσή Αυγή,4.3595,2019,Q2,low,90,True
ΝΔ,previous_vote_party,Χρυσή Αυγή,13.8535,2019,Q2,low,90,True
ΣΥΡΙΖΑ,previous_vote_party,Χρυσή Αυγή,1.3861,2019,Q2,low,90,True
Χρυσή Αυγή,previous_vote_party,Χρυσή Αυγή,77.7861,2019,Q2,low,90,True
other_party,region_group,01,51.9555,2019,Q2,low,7,True
ΝΔ,region_group,01,16.7849,2019,Q2,low,7,True
ΣΥΡΙΖΑ,region_group,01,22.0632,2019,Q2,low,7,True
Χρυσή Αυγή,region_group,01,9.1963,2019,Q2,low,7,True
other_party,region_group,02,22.7894,2019,Q2,low,4,True
Ελληνική Λύση,region_group,02,19.3542,2019,Q2,low,4,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,02,33.981,2019,Q2,low,4,True
Χρυσή Αυγή,region_group,02,23.8754,2019,Q2,low,4,True
other_party,region_group,03,20.7798,2019,Q2,low,8,True
ΝΔ,region_group,03,37.0562,2019,Q2,low,8,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,03,9.2896,2019,Q2,low,8,True
ΣΥΡΙΖΑ,region_group,03,12.8917,2019,Q2,low,8,True
Χρυσή Αυγή,region_group,03,19.9828,2019,Q2,low,8,True
ΑΝΕΛ,region_group,04,15.912,2019,Q2,low,8,True
Ελληνική Λύση,region_group,04,19.4804,2019,Q2,low,8,True
ΚΚΕ,region_group,04,9.492,2019,Q2,low,8,True
ΝΔ,region_group,04,46.008,2019,Q2,low,8,True
Χρυσή Αυγή,region_group,04,9.1077,2019,Q2,low,8,True
other_party,region_group,05,14.5291,2019,Q2,low,22,True
Ελληνική Λύση,region_group,05,4.1189,2019,Q2,low,22,True
ΚΚΕ,region_group,05,7.4579,2019,Q2,low,22,True
ΝΔ,region_group,05,29.9598,2019,Q2,low,22,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,05,2.8642,2019,Q2,low,22,True
ΣΥΡΙΖΑ,region_group,05,30.4694,2019,Q2,low,22,True
Χρυσή Αυγή,region_group,05,10.6006,2019,Q2,low,22,True
ΣΥΡΙΖΑ,region_group,06,54.452,2019,Q2,low,3,True
Χρυσή Αυγή,region_group,06,45.548,2019,Q2,low,3,True
other_party,region_group,07,15.9584,2019,Q2,low,9,True
Ελληνική Λύση,region_group,07,16.4281,2019,Q2,low,9,True
ΝΔ,region_group,07,53.2551,2019,Q2,low,9,True
ΣΥΡΙΖΑ,region_group,07,14.3584,2019,Q2,low,9,True
other_party,region_group,08,100.0,2019,Q2,low,1,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,09,43.2768,2019,Q2,low,2,True
ΣΥΡΙΖΑ,region_group,09,56.7232,2019,Q2,low,2,True
other_party,region_group,10,65.9176,2019,Q2,low,2,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,10,34.0824,2019,Q2,low,2,True
other_party,region_group,11,21.1896,2019,Q2,low,17,True
ΚΚΕ,region_group,11,3.8764,2019,Q2,low,17,True
ΝΔ,region_group,11,37.3466,2019,Q2,low,17,True
ΣΥΡΙΖΑ,region_group,11,10.5466,2019,Q2,low,17,True
Χρυσή Αυγή,region_group,11,27.0409,2019,Q2,low,17,True
other_party,region_group,12,35.6223,2019,Q2,low,5,True
ΝΔ,region_group,12,34.6547,2019,Q2,low,5,True
ΣΥΡΙΖΑ,region_group,12,29.723,2019,Q2,low,5,True
other_party,region_group,13,20.166,2019,Q2,medium,273,True
ΑΝΕΛ,region_group,13,1.1309,2019,Q2,medium,273,True
Ελληνική Λύση,region_group,13,2.6137,2019,Q2,medium,273,True
ΚΚΕ,region_group,13,2.5268,2019,Q2,medium,273,True
ΜέΡΑ25,region_group,13,1.1464,2019,Q2,medium,273,True
ΝΔ,region_group,13,27.9013,2019,Q2,medium,273,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,13,4.7144,2019,Q2,medium,273,True
Πλεύση Ελευθερίας,region_group,13,1.4252,2019,Q2,medium,273,True
Ποτάμι,region_group,13,0.7084,2019,Q2,medium,273,True
ΣΥΡΙΖΑ,region_group,13,28.1736,2019,Q2,medium,273,True
Χρυσή Αυγή,region_group,13,9.4932,2019,Q2,medium,273,True
ΝΔ,region_group,14,51.5115,2019,Q2,low,8,True
ΣΥΡΙΖΑ,region_group,14,40.1586,2019,Q2,low,8,True
Χρυσή Αυγή,region_group,14,8.33,2019,Q2,low,8,True
other_party,region_group,16,30.9124,2019,Q2,low,3,True
ΝΔ,region_group,16,49.4299,2019,Q2,low,3,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,16,19.6577,2019,Q2,low,3,True
other_party,region_group,17,7.2846,2019,Q2,low,13,True
ΝΔ,region_group,17,50.8816,2019,Q2,low,13,True
ΠΑΣΟΚ/ΚΙΝΑΛ,region_group,17,9.4096,2019,Q2,low,13,True
ΣΥΡΙΖΑ,region_group,17,24.7434,2019,Q2,low,13,True
Χρυσή Αυγή,region_group,17,7.6809,2019,Q2,low,13,True
ΝΔ,region_group,18,50.9407,2019,Q2,low,2,True
Χρυσή Αυγή,region_group,18,49.0593,2019,Q2,low,2,True
other_party,region_group,19,44.4313,2019,Q2,low,6,True
Ελληνική Λύση,region_group,19,20.3829,2019,Q2,low,6,True
ΝΔ,region_group,19,35.1858,2019,Q2,low,6,True
ΚΚΕ,region_group,21,12.064,2019,Q2,low,16,True
ΝΔ,region_group,21,47.5183,2019,Q2,low,16,True
ΣΥΡΙΖΑ,region_group,21,28.5969,2019,Q2,low,16,True
Χρυσή Αυγή,region_group,21,11.8209,2019,Q2,low,16,True
other_party,region_group,22,14.8394,2019,Q2,low,8,True
ΝΔ,region_group,22,34.6147,2019,Q2,low,8,True
Ποτάμι,region_group,22,11.2987,2019,Q2,low,8,True
ΣΥΡΙΖΑ,region_group,22,39.2472,2019,Q2,low,8,True
ΝΔ,region_group,23,56.3205,2019,Q2,low,3,True
ΣΥΡΙΖΑ,region_group,23,43.6795,2019,Q2,low,3,True
